fecha,turno,numero
2026-04-23,Matutina,2827
2026-04-23,Electrica,8700
2026-04-23,Vespertina,6506
2026-04-23,Nocturna,4269
2026-04-24,Matutina,431
2026-04-24,Electrica,5657
2026-04-24,Vespertina,9104
2026-04-24,Nocturna,1661
2026-04-25,Matutina,9103
2026-04-25,Electrica,4315
2026-04-25,Vespertina,9061
2026-04-25,Nocturna,526
2026-04-26,Matutina,9341
2026-04-26,Electrica,4918
2026-04-26,Vespertina,1218
2026-04-26,Nocturna,6295
2026-04-27,Matutina,4834
2026-04-27,Electrica,9518
2026-04-27,Vespertina,7833
2026-04-27,Nocturna,4036
2026-04-28,Matutina,8961
2026-04-28,Electrica,6566
2026-04-28,Vespertina,4033
2026-04-28,Nocturna,2948
2026-04-29,Matutina,3331
2026-04-29,Electrica,7420
2026-04-29,Vespertina,9245
2026-04-29,Nocturna,8803
2026-04-30,Matutina,2480
2026-04-30,Electrica,8394
2026-04-30,Vespertina,1338
2026-04-30,Nocturna,8235
2026-05-01,Matutina,9420
2026-05-01,Electrica,3346
2026-05-01,Vespertina,8079
2026-05-01,Nocturna,1501
2026-05-02,Matutina,190
2026-05-02,Electrica,1705
2026-05-02,Vespertina,4233
2026-05-02,Nocturna,6276
2026-05-03,Matutina,7094
2026-05-03,Electrica,6524
2026-05-03,Vespertina,9795
2026-05-03,Nocturna,9994
2026-05-04,Matutina,541
2026-05-04,Electrica,3637
2026-05-04,Vespertina,4357
2026-05-04,Nocturna,5796
2026-05-05,Matutina,4415
2026-05-05,Electrica,6882
2026-05-05,Vespertina,8620
2026-05-05,Nocturna,1634
2026-05-06,Matutina,9300
2026-05-06,Electrica,9665
2026-05-06,Vespertina,55
2026-05-06,Nocturna,296
2026-05-07,Matutina,2854
2026-05-07,Electrica,4240
2026-05-07,Vespertina,5180
2026-05-07,Nocturna,3787
2026-05-08,Matutina,7790
2026-05-08,Electrica,9290
2026-05-08,Vespertina,150
2026-05-08,Nocturna,141
2026-05-09,Matutina,6313
2026-05-09,Electrica,1595
2026-05-09,Vespertina,2197
2026-05-09,Nocturna,9207
2026-05-10,Matutina,7076
2026-05-10,Electrica,9581
2026-05-10,Vespertina,8421
2026-05-10,Nocturna,6133
2026-05-11,Matutina,2027
2026-05-11,Electrica,6370
2026-05-11,Vespertina,4126
2026-05-11,Nocturna,7860
2026-05-12,Matutina,7301
2026-05-12,Electrica,6996
2026-05-12,Vespertina,6550
2026-05-12,Nocturna,9527
2026-05-13,Matutina,6090
2026-05-13,Electrica,7484
2026-05-13,Vespertina,6841
2026-05-13,Nocturna,4164
2026-05-14,Matutina,5383
2026-05-14,Electrica,4832
2026-05-14,Vespertina,8796
2026-05-14,Nocturna,5779
2026-05-15,Matutina,5734
2026-05-15,Electrica,6412
2026-05-15,Vespertina,6035
2026-05-15,Nocturna,1807
2026-05-16,Matutina,7367
2026-05-16,Electrica,3389
2026-05-16,Vespertina,8316
2026-05-16,Nocturna,4933
2026-05-17,Matutina,270
2026-05-17,Electrica,7080
2026-05-17,Vespertina,59
2026-05-17,Nocturna,7941
2026-05-18,Matutina,6407
2026-05-18,Electrica,37
2026-05-18,Vespertina,701
2026-05-18,Nocturna,2847
2026-05-19,Matutina,8954
2026-05-19,Electrica,509
2026-05-19,Vespertina,406
2026-05-19,Nocturna,6873
2026-05-20,Matutina,7230
2026-05-20,Electrica,5460
2026-05-20,Vespertina,3851
2026-05-20,Nocturna,3098
2026-05-21,Matutina,8390
2026-05-21,Electrica,456
2026-05-21,Vespertina,9508
2026-05-21,Nocturna,1840
2026-05-22,Matutina,9900
2026-05-22,Electrica,269
2026-05-22,Vespertina,8237
2026-05-22,Nocturna,1588
2026-05-23,Matutina,6907
2026-05-23,Electrica,3447
2026-05-23,Vespertina,8947
2026-05-23,Nocturna,9581
2026-05-24,Matutina,2565
2026-05-24,Electrica,5920
2026-05-24,Vespertina,3999
2026-05-24,Nocturna,4774
2026-05-25,Matutina,4598
2026-05-25,Electrica,9468
2026-05-25,Vespertina,4478
2026-05-25,Nocturna,10
2026-05-26,Matutina,4662
2026-05-26,Electrica,3316
2026-05-26,Vespertina,5903
2026-05-26,Nocturna,6284
2026-05-27,Matutina,8732
2026-05-27,Electrica,2402
2026-05-27,Vespertina,9935
2026-05-27,Nocturna,8646
2026-05-28,Matutina,3062
2026-05-28,Electrica,6471
2026-05-28,Vespertina,4295
2026-05-28,Nocturna,4753
2026-05-29,Matutina,7885
2026-05-29,Electrica,335
2026-05-29,Vespertina,1450
2026-05-29,Nocturna,5293
2026-05-30,Matutina,4800
2026-05-30,Electrica,4482
2026-05-30,Vespertina,4427
2026-05-30,Nocturna,9667
2026-05-31,Matutina,1869
2026-05-31,Electrica,7639
2026-05-31,Vespertina,513
2026-05-31,Nocturna,3594
2026-06-01,Matutina,4896
2026-06-01,Electrica,6228
2026-06-01,Vespertina,1641
2026-06-01,Nocturna,5736
2026-06-02,Matutina,778
2026-06-02,Electrica,9945
2026-06-02,Vespertina,8998
2026-06-02,Nocturna,6364
2026-06-03,Matutina,402
2026-06-03,Electrica,598
2026-06-03,Vespertina,4227
2026-06-03,Nocturna,106
2026-06-04,Matutina,726
2026-06-04,Electrica,6027
2026-06-04,Vespertina,2606
2026-06-04,Nocturna,753
2026-06-05,Matutina,7935
2026-06-05,Electrica,7236
2026-06-05,Vespertina,4916
2026-06-05,Nocturna,2922
2026-06-06,Matutina,3393
2026-06-06,Electrica,1686
2026-06-06,Vespertina,803
2026-06-06,Nocturna,2696
2026-06-07,Matutina,2574
2026-06-07,Electrica,8150
2026-06-07,Vespertina,129
2026-06-07,Nocturna,5514
2026-06-08,Matutina,3669
2026-06-08,Electrica,9921
2026-06-08,Vespertina,2279
2026-06-08,Nocturna,7673
2026-06-09,Matutina,7213
2026-06-09,Electrica,2752
2026-06-09,Vespertina,8545
2026-06-09,Nocturna,6946
2026-06-10,Matutina,129
2026-06-10,Electrica,3396
2026-06-10,Vespertina,6413
2026-06-10,Nocturna,2066
2026-06-11,Matutina,6418
2026-06-11,Electrica,3910
2026-06-11,Vespertina,1118
2026-06-11,Nocturna,1668
2026-06-12,Matutina,6368
2026-06-12,Electrica,9494
2026-06-12,Vespertina,5676
2026-06-12,Nocturna,356
2026-06-13,Matutina,3584
2026-06-13,Electrica,1956
2026-06-13,Vespertina,3774
2026-06-13,Nocturna,1348
2026-06-14,Matutina,9501
2026-06-14,Electrica,9619
2026-06-14,Vespertina,6716
2026-06-14,Nocturna,546
2026-06-15,Matutina,4467
2026-06-15,Electrica,5483
2026-06-15,Vespertina,7727
2026-06-15,Nocturna,9666
2026-06-16,Matutina,5574
2026-06-16,Electrica,1870
2026-06-16,Vespertina,8795
2026-06-16,Nocturna,3811
2026-06-17,Matutina,8886
2026-06-17,Electrica,1977
2026-06-17,Vespertina,1954
2026-06-17,Nocturna,7467
2026-06-18,Matutina,4308
2026-06-18,Electrica,9552
2026-06-18,Vespertina,7290
2026-06-18,Nocturna,6330
2026-06-19,Matutina,5563
2026-06-19,Electrica,1751
2026-06-19,Vespertina,3978
2026-06-19,Nocturna,9106
2026-06-20,Matutina,6653
2026-06-20,Electrica,5243
2026-06-20,Vespertina,530
2026-06-20,Nocturna,1723
2026-06-21,Matutina,6055
2026-06-21,Electrica,4175
2026-06-21,Vespertina,6542
2026-06-21,Nocturna,3911
2026-06-22,Matutina,1270
2026-06-22,Electrica,2580
2026-06-22,Vespertina,266
2026-06-22,Nocturna,2469
2026-06-23,Matutina,6526
2026-06-23,Electrica,1343
2026-06-23,Vespertina,4806
2026-06-23,Nocturna,8422
2026-06-24,Matutina,4610
2026-06-24,Electrica,7147
2026-06-24,Vespertina,563
2026-06-24,Nocturna,9879
2026-06-25,Matutina,352
2026-06-25,Electrica,7416
2026-06-25,Vespertina,6512
2026-06-25,Nocturna,9753
2026-06-26,Matutina,8936
2026-06-26,Electrica,8540
2026-06-26,Vespertina,4929
2026-06-26,Nocturna,5383
2026-06-27,Matutina,3596
2026-06-27,Electrica,2811
2026-06-27,Vespertina,2104
2026-06-27,Nocturna,2215
2026-06-28,Matutina,59
2026-06-28,Electrica,225
2026-06-28,Vespertina,6697
2026-06-28,Nocturna,5846
2026-06-29,Matutina,6691
2026-06-29,Electrica,5669
2026-06-29,Vespertina,5263
2026-06-29,Nocturna,8045
2026-06-30,Matutina,2612
2026-06-30,Electrica,2546
2026-06-30,Vespertina,4399
2026-06-30,Nocturna,9090
2026-07-01,Matutina,2227
2026-07-01,Electrica,1562
2026-07-01,Vespertina,1065
2026-07-01,Nocturna,6704
2026-07-02,Matutina,2521
2026-07-02,Electrica,2089
2026-07-02,Vespertina,8607
2026-07-02,Nocturna,4010
2026-07-03,Matutina,3313
2026-07-03,Electrica,5247
2026-07-03,Vespertina,2322
2026-07-03,Nocturna,5428
2026-07-04,Matutina,3147
2026-07-04,Electrica,5696
2026-07-04,Vespertina,7390
2026-07-04,Nocturna,6038
2026-07-05,Matutina,5069
2026-07-05,Electrica,605
2026-07-05,Vespertina,3286
2026-07-05,Nocturna,1076
2026-07-06,Matutina,351
2026-07-06,Electrica,621
2026-07-06,Vespertina,3276
2026-07-06,Nocturna,2448
2026-07-07,Matutina,4058
2026-07-07,Electrica,4396
2026-07-07,Vespertina,53
2026-07-07,Nocturna,1094
2026-07-08,Matutina,574
2026-07-08,Electrica,8788
2026-07-08,Vespertina,9209
2026-07-08,Nocturna,9202
2026-07-09,Matutina,7449
2026-07-09,Electrica,4878
2026-07-09,Vespertina,718
2026-07-09,Nocturna,4654
2026-07-10,Matutina,696
2026-07-10,Electrica,5854
2026-07-10,Vespertina,7251
2026-07-10,Nocturna,9624
2026-07-11,Matutina,1637
2026-07-11,Electrica,3611
2026-07-11,Vespertina,321
2026-07-11,Nocturna,9517
2026-07-12,Matutina,887
2026-07-12,Electrica,4147
2026-07-12,Vespertina,8126
2026-07-12,Nocturna,6439
2026-07-13,Matutina,4622
2026-07-13,Electrica,4174
2026-07-13,Vespertina,6655
2026-07-13,Nocturna,318
2026-07-14,Matutina,2704
2026-07-14,Electrica,3
2026-07-14,Vespertina,9246
2026-07-14,Nocturna,6441
2026-07-15,Matutina,1874
2026-07-15,Electrica,9846
2026-07-15,Vespertina,2352
2026-07-15,Nocturna,4819
2026-07-16,Matutina,7535
2026-07-16,Electrica,6247
2026-07-16,Vespertina,7588
2026-07-16,Nocturna,212
2026-07-17,Matutina,9882
2026-07-17,Electrica,263
2026-07-17,Vespertina,7118
2026-07-17,Nocturna,3857
2026-07-18,Matutina,3374
2026-07-18,Electrica,7101
2026-07-18,Vespertina,4254
2026-07-18,Nocturna,6456
2026-07-19,Matutina,875
2026-07-19,Electrica,9960
2026-07-19,Vespertina,5616
2026-07-19,Nocturna,3215
2026-07-20,Matutina,6160
2026-07-20,Electrica,5086
2026-07-20,Vespertina,9051
2026-07-20,Nocturna,6325
2026-07-21,Matutina,3524
2026-07-21,Electrica,5106
2026-07-21,Vespertina,6573
2026-07-21,Nocturna,3727
2026-07-22,Matutina,9481
2026-07-22,Electrica,8319
2026-07-22,Vespertina,6039
2026-07-22,Nocturna,4505
2026-07-23,Matutina,3509
2026-07-23,Electrica,4286
2026-07-23,Vespertina,3843
2026-07-23,Nocturna,3264
2026-07-24,Matutina,4549
2026-07-24,Electrica,2845
2026-07-24,Vespertina,5107
2026-07-24,Nocturna,350
2026-07-25,Matutina,6662
2026-07-25,Electrica,3743
2026-07-25,Vespertina,5215
2026-07-25,Nocturna,899
2026-07-26,Matutina,3657
2026-07-26,Electrica,6492
2026-07-26,Vespertina,2050
2026-07-26,Nocturna,5764
2026-07-27,Matutina,8361
2026-07-27,Electrica,54
2026-07-27,Vespertina,408
2026-07-27,Nocturna,4649
2026-07-28,Matutina,9042
2026-07-28,Electrica,6003
2026-07-28,Vespertina,8300
2026-07-28,Nocturna,1311
2026-07-29,Matutina,3347
2026-07-29,Electrica,7514
2026-07-29,Vespertina,958
2026-07-29,Nocturna,1883
2026-07-30,Matutina,9389
2026-07-30,Electrica,8555
2026-07-30,Vespertina,267
2026-07-30,Nocturna,861
2026-07-31,Matutina,5700
2026-07-31,Electrica,9023
2026-07-31,Vespertina,6547
2026-07-31,Nocturna,7472
2026-08-01,Matutina,4744
2026-08-01,Electrica,4403
2026-08-01,Vespertina,3881
2026-08-01,Nocturna,6577
2026-08-02,Matutina,9215
2026-08-02,Electrica,9193
2026-08-02,Vespertina,189
2026-08-02,Nocturna,8741
